专业名称,专业简介
建筑学,研究建筑设计与理论，涵盖美学、结构等，培养建筑设计能力，面向建筑设计研究院。
城乡规划,规划城乡空间布局，涉及土地利用等，培养规划设计能力，服务于城乡规划部门、设计院。
测绘工程,从事大地、工程测绘，学习测绘技术与仪器，培养测绘能力，用于地质、建筑等领域。
电气工程及其自动化,研究电气系统，涵盖发电、配电等，培养电气设计能力，面向电力、制造等行业。
交通运输,研究交通规划与管理，涉及道路、铁路等，培养交通系统优化能力，服务于交通部门。
遥感科学与技术,利用遥感技术获取信息，处理影像数据，培养遥感应用能力，用于测绘、环境监测等。
化学工程与工艺,研究化工生产流程，涵盖反应、分离等，培养化工设计能力，面向化工、制药企业。
宝石及材料工艺学,学习宝石鉴定与加工，涉及珠宝设计，培养宝石相关技能，服务于珠宝行业。
船舶与海洋工程,研究船舶设计制造及海洋工程，培养相关研发能力，面向船舶企业、海洋工程领域。
智能电网信息工程,结合电网与信息技术，研究智能电网建设，培养相关设计能力，服务于电力行业。
能源与动力工程,研究能源转换与利用，涉及热力、动力设备，培养能源工程设计能力，面向能源企业。
智能科学与技术,聚焦智能系统研发，涵盖人工智能等，培养智能技术应用能力，适用于IT、自动化等领域。
新能源科学与工程,研究新能源开发利用，如太阳能、风能，培养新能源工程能力，服务于新能源企业。
生物制药,结合生物与制药技术，研发生物药物，培养制药研发能力，面向生物制药企业。
电子信息工程,研究电子设备与信息系统，涵盖电路、通信等，培养电子信息研发能力，服务于电子行业。
电子信息科学与技术,探索电子信息规律，涉及半导体、通信等，培养科研与应用能力，面向电子信息领域。
电子科学与技术,研究电子材料与器件，涵盖微电子、光电子等，培养器件研发能力，服务于电子企业。
微电子科学与工程,专注微电子器件设计制造，涉及芯片技术，培养微电子研发能力，面向半导体行业。
汽车服务工程,围绕汽车售后等服务，涉及维修、营销等，培养汽车服务能力，面向汽车服务企业。
制药工程,研究药品生产工艺，涵盖制剂、质量控制等，培养制药工程能力，面向制药企业。
食品科学与工程,研究食品加工、安全等，涉及生产技术，培养食品研发能力，服务于食品企业。
新能源材料与器件,研发新能源相关材料与器件，涉及电池等，培养研发能力，面向新能源材料企业。
光电信息科学与工程,结合光与电信息，研究光电系统，培养光电技术应用能力，服务于光电子行业。
信息安全,保障信息系统安全，学习加密、防护技术，培养信息安全防护能力，面向IT安全领域。
交通工程,研究交通设施规划建设，涉及道路、枢纽等，培养交通工程设计能力，服务于交通行业。
纺织工程,专注纺织品生产技术，涵盖纺纱、织造等，培养纺织研发能力，面向纺织企业。
工程力学,研究工程中的力学问题，涉及结构强度等，培养力学分析能力，服务于工程设计领域。
工业设计,设计工业产品，兼顾功能与美学，培养产品设计能力，面向制造业、设计公司。
数据科学与大数据技术,处理海量数据，学习数据分析与挖掘，培养大数据应用能力，适用于互联网、金融等领域。
风景园林,设计园林景观，兼顾生态与美观，培养景观设计能力，面向园林设计院、房地产行业。
机器人工程,研究机器人设计与控制，涉及机械、电子等，培养机器人研发能力，服务于机器人企业。
农学,研究农作物种植技术，涉及育种、栽培等，培养农业生产能力，面向农业科研、生产领域。
植物保护,防治植物病虫害，学习植保技术，培养植物保护能力，服务于农业、林业部门。
园艺,研究果蔬、花卉种植，涉及栽培、育种等，培养园艺生产能力，面向园艺企业、农业园区。
动物医学,诊治动物疾病，学习兽医技术，培养动物医疗能力，面向宠物医院、畜牧场等。
园林,侧重园林植物与工程，设计园林景观，培养园林建设能力，服务于园林行业。
林学,研究森林培育与保护，涉及造林、林业管理等，培养林业技术能力，面向林业部门。
药学,研究药物研发与应用，涵盖药理、药剂等，培养药物研发能力，面向制药企业、医院。
麻醉学,专注临床麻醉，学习麻醉技术与监测，培养麻醉实施能力，服务于医院麻醉科。
口腔医学,诊治口腔疾病，涉及牙体、正畸等，培养口腔医疗能力，面向口腔医院、诊所。
中医学,传承中医理论，学习中药、针灸等，培养中医诊疗能力，服务于中医院、中医馆。
工商管理,研究企业管理，涵盖战略、营销等，培养管理能力，面向各类企业管理岗位。
财务管理,管理企业资金，涉及投融资、预算等，培养财务分析能力，面向企业财务部门。
会计学,核算与监督企业经济活动，学习会计制度，培养会计实务能力，服务于企业、事业单位。
注会专门化,聚焦注册会计师业务，强化审计、会计技能，培养注会从业能力，面向会计师事务所。
物流工程,优化物流系统，涉及仓储、运输等，培养物流管理能力，服务于物流企业、制造业。
工程管理,管理工程项目，涉及进度、成本等，培养工程管理能力，面向建筑、工程企业。
工程造价,核算工程成本，学习计价规范，培养造价编制能力，服务于造价咨询公司、建筑企业。
信息管理与信息系统,结合管理与信息技术，处理信息系统，培养信息管理能力，面向企业信息部门。
播音与主持艺术,培养播音主持技能，涉及新闻播报、节目主持等，面向电视台、广播电台等媒体。
动画,学习动画制作技术，涵盖2D、3D动画，培养动画设计能力，服务于动画公司、影视行业。
视觉传达设计,通过视觉元素传达信息，涉及海报、品牌设计等，培养设计能力，面向广告、设计公司。
表演,学习舞台与影视表演，培养角色塑造能力，面向剧院、影视剧组等演艺机构。
产品设计,设计工业产品外观与功能，兼顾用户体验，培养产品设计能力，服务于制造业、设计公司。
美术学,研究美术理论与创作，涵盖绘画、雕塑等，培养美术教学与创作能力，面向教育、艺术领域。
环境设计,设计室内外环境，涉及空间规划、装饰等，培养环境设计能力，面向装饰公司、设计院。
